,headline,label,importance
7,Why Is Ametek (AME) Down 5.3% Since Last Earnings Report?,Negative,minor
15,Positive earnings growth hasn't been enough to get PPG Industries (NYSE:PPG) shareholders a favorable return over the last year,Negative,minor
23,Arch Capital (ACGL) Q1 Earnings & Revenues Miss Estimates,Negative,minor
31,CarMaxs Earnings Were Weak. Why This Analyst Downgraded the Stock.,Negative,minor
39,Gartner revises 2022 mobile sales estimates to fall 7.1%,Negative,minor
47,Abbott (ABT) Stock Moves -1.73%: What You Should Know,Negative,minor
55,PepsiCo (PEP) Stock Moves -1.78%: What You Should Know,Negative,minor
63,Conagra Brands Misses on Q2 Earnings on Higher Inflation,Negative,minor
71,"Online Travels Letters to Shareholders Should Nix the Fluff, Stick to Facts",Negative,neutral
79,Staples Stocks Are Usually a Safe Bet. Why Theyre Getting Crushed.,Negative,minor
87,"Auto demand could face a 'real problem' amid rising rates, sky-high gas prices",Negative,major
95,Federal Realty Investment Trust (FRT) Stock Moves -1.24%: What You Should Know,Negative,minor
103,"Fed looks dead set on tightening financial conditions until the economy slows, warns BlackRock",Negative,major
111,Is the Show Over for Netflix?,Negative,minor
119,Earnings Preview: International Flavors (IFF) Q4 Earnings Expected to Decline,Negative,minor
127,Housing market seeing more balance as mortgage rates climb: Economist,Negative,minor
135,Market strategist: 'We are in an extreme whoosh' and should act accordingly,Negative,major
143,Abortion: How corporate America is responding to the Supreme Court ruling,Negative,major
151,Market is not liking Xerox Holdings' (NASDAQ:XRX) earnings decline as stock retreats 15% this week,Negative,minor
159,CHIPOTLE TESTS GARLIC GUAJILLO STEAK IN SELECT MARKETS,Negative,neutral
167,"Cisco, Nike quit Russia, as pace of Western firms leaving speeds up",Negative,major
175,Earnings Preview: Perrigo (PRGO) Q1 Earnings Expected to Decline,Negative,minor
183,"Mainstay Vp Funds Trust Buys Cigna Corp, Dominion Energy Inc, Siemens AG, Sells PNC Financial ...",Negative,neutral
191,American Airlines (AAL) Stock Sinks As Market Gains: What You Should Know,Negative,minor
199,Best Buy (BBY) Misses Q1 Earnings Estimates,Negative,minor
207,"Best Buy's (BBY) Q1 Earnings Miss, Comparable Sales Fall 8%",Negative,minor
215,Waste Management (WM) Stock Moves -1.19%: What You Should Know,Negative,minor
223,"Baby formula issues reportedly known earlier, Meta halts smart watch plans, executives urge gun control",Negative,major
231,Taco Bell Brings Back a Classic Menu Item,Negative,neutral
239,"NVR, Inc. (NYSE:NVR) Shares Could Be 39% Below Their Intrinsic Value Estimate",Negative,minor
247,Dow Jones Futures Fall After Market Rally Flashes Very Bearish Signal; 5 Stocks To Watch,Negative,major
255,"Marketing Budgets are Growing This Year, But Now Cuts Are on the Table",Negative,minor
263,Chinas Market Meltdown Has Traders Rushing to Buy Protection,Negative,major
271,PulteGroup (PHM) Stock Moves -0.75%: What You Should Know,Negative,minor
279,Fox (FOXA) Misses Q3 Earnings Estimates,Negative,minor
287,Why Nucor Stock Gave Back Its Gains Today,Negative,minor
295,Is Medtronic a Buy?,Negative,minor
303,8.4% earnings growth over 1 year has not materialized into gains for Bank of New York Mellon (NYSE:BK) shareholders over that period,Negative,minor
311,"Inflation, War, And COVID Drag On Global Credit Conditions, Report Says",Negative,major
319,Akzo Nobel Shares Slump After CEO Departure Announced,Negative,minor
327,Arconic (ARNC) Lags Q4 Earnings Estimates,Negative,minor
335,"Stocks accelerate losses into the close, all 11 sectors of S&P 500 in the red",Negative,major
343,UPDATE 4-Lennar flags cooling home demand as hotter interest rates spook buyers,Negative,minor
351,"Western Union: Price Down, Dividend Yield Up",Negative,minor
359,Why Stanley Black & Decker Shares Are Trading Lower Today,Negative,minor
367,"Market check: Energy outperforms, Big Tech stocks slide",Negative,neutral
375,Darden (DRI) Banks on Off-Premise Business Amid High Costs,Negative,minor
383,Top Hedge Funds are Selling These 10 Stocks,Negative,minor
391,"Smith Micro Software, Inc. (SMSI) Reports Q1 Loss, Tops Revenue Estimates",Negative,minor
399,S&P 500 Stumbles as Meta's Biggest One Day Plunge Sinks Tech,Negative,major
407,3M expects $300 mln revenue hit from China COVID lockdowns,Negative,minor
415,Will Supply Chain Woes Mar Boston Beer's (SAM) Q4 Earnings?,Negative,minor
423,"Southwest Airlines Beats Q3 Estimates, Expects Not To Be Profitable In Q4",Negative,minor
431,Truist Financial Corporation (TFC) Down 11.8% Since Last Earnings Report: Can It Rebound?,Negative,minor
439,Stock Market Near Session Lows; These Health Care Leaders Tumble,Negative,minor
447,Why Netflix Stock Fell Another 5% Today,Negative,minor
455,"Exclusive-California lithium tax would delay shipments to automakers, executives warn",Negative,minor
463,Investors in Wells Fargo (NYSE:WFC) have unfortunately lost 16% over the last five years,Negative,minor
471,"Wynn Resorts Narrows Losses, Revenue Misses Estimates. Heres What One Analyst Says.",Negative,minor
479,Broadcom Has a Mixed Story for Traders,Negative,neutral
487,Clorox's (NYSE:CLX one-year decrease in earnings delivers investors with a 29% loss,Negative,minor
495,Russia war could further escalate auto prices and shortages,Negative,major
503,Public Storage (PSA) Stock Sinks As Market Gains: What You Should Know,Negative,minor
511,"Energy stocks: Demand destruction is likely to occur, ETF strategist says",Negative,minor
519,Billionaire George Soros is Selling These 10 Stocks in 2022,Negative,minor
527,J.P. Morgans Tusa Doesnt Just Hate GE Stock. Now He Hates Pentair Too.,Negative,neutral
535,Why Clorox Sales Tumbled 12% This Week,Negative,minor
543,BOE Taps Banks for Funds to Increase Scrutiny of Crypto Assets,Negative,neutral
551,Toyota Halved Its Stake in Uber Stock,Negative,minor
559,Molson Coors Beverage (NYSE:TAP) investors are sitting on a loss of 42% if they invested five years ago,Negative,minor
567,Investors in Invesco (NYSE:IVZ) have unfortunately lost 28% over the last five years,Negative,minor
575,"Facing Inflation-Weary Shoppers, Grocers Fight Price Increases",Negative,minor
583,"Elliott, Vista Equity to buy software firm Citrix in $16.5 billion deal",Negative,minor
591,Wait for C3.AI to Get Back to $26 Before Buying AI Stock,Negative,minor
599,Estee Lauder Stock Is Sinking Because Russia and China Are Hitting Its Earnings Guidance,Negative,minor
607,"Align Technology (ALGN) Q1 Earnings Lag Estimates, Margins Fall",Negative,minor
615,Former Metro Bank boss Vernon Hill fights ousting at US lender,Negative,neutral
623,"Down 20% in 6 Months, Is Now the Time to Buy Apple Stock?",Negative,minor
631,"Wells Fargo, Susquehanna Cut L3Harris Price Target Following Q4 Results",Negative,minor
639,Why DraftKings stock is down after earnings,Negative,minor
647,Why North Carolina's hefty economic incentives don't guarantee big salaries,Negative,neutral
655,O'Reilly Automotive Tumbles After Q1 Results Hit By Weather Conditions,Negative,minor
663,Why Is Kinder Morgan (KMI) Down 3.9% Since Last Earnings Report?,Negative,minor
671,"Abbott (ABT) COVID Testing Sales Surge, FX Headwind Stays",Negative,minor
679,Why Is Hilton Worldwide Holdings Inc. (HLT) Down 8.6% Since Last Earnings Report?,Negative,minor
687,Under Armour CEO to Step Down,Negative,minor
695,Best Buy Revenue Tops Estimates. The Stocks Gains Didnt Last.,Negative,minor
703,Falling Consumer Spending Leads eBay to Lower 2022 Targets,Negative,minor
711,Live Nation (LYV) May Report Negative Earnings: Know the Trend Ahead of Next Week's Release,Negative,minor
719,Return Trends At WEC Energy Group (NYSE:WEC) Aren't Appealing,Negative,minor
727,O'Reilly Automotive (ORLY) Misses Q1 Earnings Estimates,Negative,minor
735,Why Is Synchrony (SYF) Down 13% Since Last Earnings Report?,Negative,minor
743,S&P 500 Slips as Wild Trading Continues After U.S. Ban on Russia Oil,Negative,major
751,Cruise stocks dive as recession fears circulate in the stock market,Negative,minor
759,CVS Health (CVS) Down 0.5% Since Last Earnings Report: Can It Rebound?,Negative,minor
767,Lennar says home buying under pressure from high interest rates,Negative,minor
775,More Subprime Borrowers Are Missing Loan Payments,Negative,minor
783,Realty Income Corp. (O) Stock Moves -1.24%: What You Should Know,Negative,minor
791,Stock Market Falls As New Inflation Data Remains Heated; Nasdaq Set For A Bad Distinction,Negative,major
799,Is Flight Centre Travel Group (ASX:FLT) A Risky Investment?,Negative,minor
807,"Citigroup sees 50% chance of recession amid inflation, Fed hikes, and consumer spending slowdown",Negative,major
815,High Gas Prices Force UK Fertilizer Plant to Shut for Good,Negative,minor
823,Duke Energy solar plans hampered by federal tariff investigation of Asian imports,Negative,minor
831,West Pharmaceutical Services Shares Slides Post Q1 Results,Negative,minor
839,"Down 70%, PayPal Is Now a Value Stock",Negative,minor
847,Loews Corporation Reports Net Loss Of $632 Million For The First Quarter Of 2020,Negative,minor
855,UPDATE 1-BlackRock's Fink says clients must decide how to navigate energy transition,Negative,neutral
863,Why Is Take-Two (TTWO) Down 1.4% Since Last Earnings Report?,Negative,minor
871,Ecolab (NYSE:ECL) Could Be Struggling To Allocate Capital,Negative,minor
879,"Where to Invest $10,000 in a Bear Market",Negative,neutral
887,Unum (UNM) Misses Q3 Earnings Estimates,Negative,minor
895,EV-Truck Startup Electric Last Mile Says It Plans to Liquidate,Negative,minor
903,"Under Armour profit to take hit from higher costs, China curbs; shares tank",Negative,minor
911,J M Smucker Stock Slides On Gloomy FY23 Outlook,Negative,minor
919,Under Armour price targets slashed as supply chain headwinds challenge margins,Negative,minor
927,Astronomical CEO pay during the pandemic is 'abuse': Ursula Burns,Negative,neutral
935,Surprisingly Bad News Hit These 2 Stocks Hard Wednesday,Negative,minor
943,Two Humana execs sell $2.9 million worth of stock,Negative,neutral
951,Wells Fargo Expects Mortgage Banking Income to Drop 50% -- Is it Time to Buy or Sell the Stock?,Negative,minor
959,The Top 2 Reasons Consumers Cancel Streaming Services,Negative,neutral
967,Why I'll Never Buy Macerich,Negative,neutral
975,"Mortgage rates leading to higher costs for homebuyers, economist says",Negative,minor
983,"Stericycle (SRCL) Q1 Earnings Miss Estimates, Decrease Y/Y",Negative,minor
991,"Baker Hughes earnings miss profit outlook, sending shares down",Negative,minor
999,"Why Amazon, Etsy, and Carvana Stocks Dropped Today",Negative,minor
1007,"SHAREHOLDER ALERT: Morris Kandinov Investigating WKHS, VRM, RDW, and CTSH; Shareholders are Encouraged to Contact the Firm",Negative,neutral
1015,Is It Time to Buy the S&P 500's 3 Worst-Performing August Stocks?,Negative,minor
1023,US STOCKS-Wall St set to open lower as Target's margin warning fuels demand worries,Negative,major
1031,Is It Time to Buy the S&P 500's 4 Worst-Performing Stocks?,Negative,minor
1039,Bristol-Myers Squibb Company (NYSE:BMY) Stock Goes Ex-Dividend In Just Two Days,Negative,neutral
1047,EQT Corporation (EQT) Slides 4.4% as Q1 Earnings Miss Estimates,Negative,minor
1055,"BOK Financial (BOKF) Q4 Earnings & Revenues Miss, Stock Down 7%",Negative,minor
1063,Earnings Preview: Leidos (LDOS) Q4 Earnings Expected to Decline,Negative,minor
1071,Texas Instruments Could Bounce But the Bigger Picture Remains Bearish,Negative,minor
1079,Fake $14.7 Billion Textron Takeover Bid Leads to Criminal Charge,Negative,neutral
1087,Why Is NVR (NVR) Down 2.2% Since Last Earnings Report?,Negative,minor
1095,Globe Life Inc. Redemption Of 6.125% Junior Subordinated Debentures Due 2056,Negative,neutral
1103,Why Moody's Stock Declined 15.2% in January,Negative,minor
1111,U.S. Bank Increases Prime Lending Rate to 3.50 Percent,Negative,minor
1119,Lincoln Road retail building sells for a discount at $94M,Negative,neutral
1127,Dentsply Sirona could face NASDAQ delisting for failing to file financial report during investigation,Negative,minor
1135,US retailers are facing a Goldilocks problem with inventory,Negative,minor
1143,"Hilton (HLT) Banks on Loyalty Program, Dismal RevPAR Hurts",Negative,minor
1151,Gartner (IT) Down 6.9% Since Last Earnings Report: Can It Rebound?,Negative,minor
1159,DXC Technology's (DXC) Q4 Earnings & Revenue Miss Estimates,Negative,minor
1167,Whirlpool (WHR) Stock Sinks As Market Gains: What You Should Know,Negative,minor
1175,Fundamental Analysis: Kimberly-Clark (NYSE:KMB) Offers Stability as Purchasing Power Decreases,Negative,minor
1183,Column: The big contributors to inflation you're not hearing about: profiteering corporations,Negative,major
1191,Illinois Tool Works (ITW) Down 3.3% Since Last Earnings Report: Can It Rebound?,Negative,minor
1199,"APA CORPORATION INVESTIGATION INITIATED BY FORMER LOUISIANA ATTORNEY GENERAL:  Kahn Swick & Foti, LLC Investigates the Officers and Directors of APA Corporation - APA",Negative,neutral
1207,Micron stock slumps after posting weak revenue guidance,Negative,minor
1215,Dow Jones Futures Fall After Bears Hunt Down Market Bulls; Twitter-Elon Musk Deal Close,Negative,major
1223,Why Is Everybody Talking About Target Stock?,Negative,minor
1231,Stock Market Starts Trading Week with Bloodbath,Negative,major
1239,Crude Oil Takes Fresh Blow as Recession Angst Scars Commodities,Negative,major
1247,UPDATE 6-China suspected in hack of journalists at News Corp,Negative,major
1255,Honeywell International Inc. (HON) Stock Moves -1.24%: What You Should Know,Negative,minor
1263,"US, South Korea Fire Missiles in Response to Kim Jong Un Barrage",Negative,neutral
1271,Accenture (ACN) Stock Moves -0.21%: What You Should Know,Negative,minor
1279,Ex-eBay exec charged with harassing newsletter publishers pleads guilty,Negative,neutral
1287,Why Chevron Stock Is Tumbling Today,Negative,minor
1295,Why Are Xerox Shares Plunging Today,Negative,minor
1303,US STOCKS-Wall Street dips with Fed policy announcement on tap,Negative,major
1311,Palm Oil Jumps as Traders Weigh Severity of Indonesia Export Ban,Negative,minor
1319,Citi Raises Base Rate,Negative,minor
1327,Snowflake Plunges on Projection for Slowing Revenue Growth,Negative,minor
1335,Cisco Shortfall Jolts Wall Street as Lockdowns Roil Supply,Negative,minor
1343,Sba Communications Corp (SBAC) EVP - Operations Mark R Ciarfella Sold $1.1 million of Shares,Negative,neutral
1351,"Avery Dennison (AVY) Q4 Earnings Miss Estimates, Down Y/Y",Negative,minor
1359,Wabtec Declares Regular Quarterly Common Dividend,Negative,neutral
1367,Is Perseus Mining (ASX:PRU) Using Too Much Debt?,Negative,minor
1375,Sanitation workers at Republic Services on strike in Seattle area,Negative,minor
1383,Cohen & Steers' (CNS) February AUM Down on Unfavorable Markets,Negative,minor
1391,"Sara-Bay Financial Buys Cerence Inc, Public Service Enterprise Group Inc, Welltower Inc, Sells ...",Negative,neutral
1399,Factors Likely to Affect Procter & Gamble's (PG) Q3 Earnings,Negative,minor
1407,D.R. Horton (DHI) Stock Moves -0.37%: What You Should Know,Negative,minor
1415,Rockwell Automation (ROK) Q2 Earnings and Revenues Miss Estimates,Negative,minor
1423,The Returns On Capital At Gap (NYSE:GPS) Don't Inspire Confidence,Negative,minor
1431,SoftBank Group International CEO to Leave After Five Months,Negative,neutral
1439,Why Nike Fell Hard on Tuesday,Negative,minor
1447,Expeditors International (EXPD) Stock Sinks As Market Gains: What You Should Know,Negative,minor
1455,Steris (STE) Down 1.5% Since Last Earnings Report: Can It Rebound?,Negative,minor
1463,ExxonMobil Announces Sale of Interests in Montney and Duvernay Canadian Assets,Negative,minor
1471,"Aurora Cannabis Inc. (ACB) Reports Q2 Loss, Tops Revenue Estimates",Negative,minor
1479,"Neogen's (NEOG) Q3 Earnings Miss Estimates, Margins Down",Negative,minor
1487,"Twitter down: Some users unable to access site, forced to look at dog instead",Negative,neutral
1495,"Salesforce Stock Jumps As Q1 Results, Outlook Signal Resiliency",Negative,minor
1503,Cisco stock logs worst day in more than a decade as China shutdown blamed for poor outlook,Negative,major
1511,Retail companies like Target and Abercrombie face bloated inventories,Negative,minor
1519,Union Pacific's (UNP) 2022 Margins to be Hit Hard by Cost Woes,Negative,minor
1527,"Dycom's (DY) Stock Increases on Q4 Earnings Beat, Margins Fall",Negative,minor
1535,Why Rattler Midstream Stock Jumped Today,Negative,neutral
1543,Dow Jones Futures Loom After Bears Hunt Down Market Bulls; What To Do Now,Negative,major
1551,"Corteva, Inc. (CTVA) Reports Q3 Loss, Tops Revenue Estimates",Negative,minor
1559,American International Group (AIG) Down 9.5% Since Last Earnings Report: Can It Rebound?,Negative,minor
1567,Why Nielsen Stock Slumped on Monday,Negative,minor
1575,Idexx (IDXX) Down 0.1% Since Last Earnings Report: Can It Rebound?,Negative,minor
1583,Airline analyst: Flight cancellations will be particularly bad this summer,Negative,minor
1591,"Handelsbanken Fonder AB Buys FREYR Battery, Pfizer Inc, GXO Logistics Inc, Sells SVB Financial ...",Negative,neutral
1599,"AV company Aptiv issues revenue warning for 2021 due to COVID, supply-chain snags and chip shortage",Negative,minor
1607,Alrosa Finance S.A. -- Moody's downgrades the ratings of 95 Russian corporates,Negative,major
1615,"Paradiem, LLC Buys Expro Group Holdings NV, Nucor Corp, Main Street Capital Corp, Sells Aflac ...",Negative,neutral
1623,Fortinet Dips Following BofA Downgrade,Negative,minor
1631,"INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Rollins, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm",Negative,neutral
1639,Why Are Global Payments Shares Trading Lower Today,Negative,minor
1647,Why Is Old Dominion (ODFL) Down 1% Since Last Earnings Report?,Negative,minor
1655,Why Shares of Johnson Controls Are Falling Today,Negative,minor
1663,American Airlines will no longer fly to these three cities as pilot shortage worsens,Negative,minor
1671,Freeport-McMoRan (FCX) Stock Sinks As Market Gains: What You Should Know,Negative,minor
1679,3 Falling Stocks That Are Still Overpriced,Negative,minor
1687,"Inflation, earnings, home prices: Economic data to watch this week",Negative,minor
1695,"Centene board member appointed in shakeup resigns, cites need to 'refresh approach to leadership'",Negative,neutral
1703,"US STOCKS-Dow, S&P boosted by banks; cautious on consumer confidence data",Negative,minor
1711,Will Wynn Resorts (WYNN) Report Negative Q1 Earnings? What You Should Know,Negative,minor
1719,"Wynn Resorts (NASDAQ:WYNN shareholders incur further losses as stock declines 5.9% this week, taking three-year losses to 47%",Negative,minor
1727,Why electric bills keep rising,Negative,minor
1735,PepsiCo (PEP) Dips More Than Broader Markets: What You Should Know,Negative,minor
1743,Nielsen Declares Quarterly Dividend,Negative,neutral
1751,Fifth Third Center in Downtown Cleveland for sale,Negative,neutral
1759,Akamai Technologies (AKAM) Down 1.6% Since Last Earnings Report: Can It Rebound?,Negative,minor
1767,Medtronic Recalls Harmony Delivery Catheter Due Risk Of Breaking While Procedure,Negative,minor
1775,Chip Gear Maker Applied Materials Misses Targets Due To Supply Chain Issues,Negative,minor
1783,"UPDATE 3-Vans owner slips as production delays, China curbs hit sales forecast",Negative,minor
1791,Return Trends At Garmin (NYSE:GRMN) Aren't Appealing,Negative,minor
1799,"Tencent, Alibaba Look Like Utilities After $1 Trillion Drubbing",Negative,major
1807,Exxon CEO Warns That Consumers Will Pay For Hasty Energy Transition,Negative,minor
1815,"What to watch as Bank of America, Wells Fargo and Truist report first-quarter earnings for 2022",Negative,minor
1823,"Inflation is hitting America's middle class particularly hard, BofA finds",Negative,major
1831,New Strong Sell Stocks for November 24th,Negative,neutral
1839,Fee Income Woes to Hurt Truist Financial (TFC) Q1 Earnings,Negative,minor
1847,Wells Fargo Initiates Coverage On 5 Building Products Stocks With Mixed Ratings,Negative,neutral
1855,"American International Group, Inc. (AIG) Soars to 52-Week High, Time to Cash Out?",Negative,minor
1863,"WisdomTree Investments, Inc. (WETF) Tops Q1 Earnings Estimates",Negative,minor
1871,Is Now An Opportune Moment To Examine LKQ Corporation (NASDAQ:LKQ)?,Negative,minor
1879,CF Stock Reverses After Earnings Miss Amid Higher Natural Gas Prices,Negative,minor
1887,"Trupanion (TRUP) Reports Q1 Loss, Tops Revenue Estimates",Negative,minor
1895,Will the Market Action Follow Nike's Footsteps?,Negative,neutral
1903,Carrier Board of Directors Declares Quarterly Cash Dividend,Negative,neutral
1911,Why Investors Are Toning Down Climate Demands,Negative,neutral
1919,"The 7 Worst Housing Markets in America, According to Lennar",Negative,minor
1927,A Lack of Golden Screws Means More Trouble for the Stock Market,Negative,minor
1935,"Walmart still under pressure amid rampant inflation, specifically gas prices",Negative,minor
1943,U.S. Bank building may be converted to juvenile detention center,Negative,neutral
1951,"Dow Jones Futures: Nasdaq Breaks Lower, Tesla Dives Amid Musk-Twitter Deal; Microsoft Pops Late",Negative,major
1959,AbbVie (ABBV) Stock Sinks As Market Gains: What You Should Know,Negative,minor
1967,Avery Dennison (AVY) Down 11.3% Since Last Earnings Report: Can It Rebound?,Negative,minor
1975,"Ceragon Networks (CRNT) Reports Q4 Loss, Tops Revenue Estimates",Negative,minor
1983,Under Armour CEO Patrik Frisk Is Stepping Down,Negative,major
1991,"Laird Superfood, Inc. (LSF) Reports Q4 Loss, Lags Revenue Estimates",Negative,minor
1999,Goldman Sachs economist sees 'a slowdown in consumer spending',Negative,minor
2007,Why Zebra Stock Tanked 19% in February,Negative,minor
2015,Earnings Preview: Kimberly-Clark (KMB) Q1 Earnings Expected to Decline,Negative,minor
2023,Gap stock plummets after retailer slashes sales guidance,Negative,minor
2031,Analysts Are Downgrading These 10 Energy Stocks,Negative,minor
2039,"Perrigo (PRGO) Misses on Q3 Earnings, Lowers Earnings View",Negative,minor
2047,Why Ross Stores Stock Plunged 25% at the Open Today,Negative,minor
2055,These 2 Real Estate Stocks Pay for Themselves,Negative,neutral
2063,"In rare Austin-area semiconductor setback, Round Rock ISD declines Chapter 313 application from supplier",Negative,neutral
2071,These Stocks Are More of a Gamble Than an Investment,Negative,neutral
2079,UPDATE 2-Auto parts maker Aptiv expects production to be affected by supply chain woes,Negative,minor
2087,JPMorgan Piles On With Estimate Cuts Before Earnings: Tech Watch,Negative,minor
2095,Charter Communications stock slips after Bank of America ends bullish call on cable name,Negative,minor
2103,Why Is PerkinElmer (PKI) Down 4.2% Since Last Earnings Report?,Negative,minor
2111,"Procter & Gamble (PG) Tops on Q3 Earnings & Sales, Hikes View",Negative,minor
2119,"Midday Movers: Moderna, Twitter, Campbell Soup and More",Negative,neutral
2127,Zimmer (ZBH) Down 5.6% Since Last Earnings Report: Can It Rebound?,Negative,minor
2135,Looming Debt Crunch Positions Laos as Next Possible Asia Default,Negative,major
2143,McCormick Cuts Forecasts as Costs Rise. The Stock Is Dropping After Earnings.,Negative,minor
2151,Here is What Hedge Funds Think About BorgWarner Inc. (BWA),Negative,minor
2159,Qualcomms Apple Slice Still Has an Expiration Date,Negative,minor
2167,"Job market: Private payrolls fell by 301,000 in January, ADP reports",Negative,minor
2175,Why Is TJX (TJX) Down 7.1% Since Last Earnings Report?,Negative,minor
2183,Fortinet (FTNT) Stock Sinks As Market Gains: What You Should Know,Negative,minor
2191,Cruise stocks may face trouble as demand 'seems to be eroding': BofA,Negative,minor
2199,"SoFi Stock Isnt Coming Back Any Time Soon, So Stay Clear",Negative,minor
2207,Billionaire Ken Griffin is Selling These 10 Stocks in 2022,Negative,minor
2215,Shares of Aimco (AIV) Tumble as It Completes Spin-Off of AIR,Negative,minor
2223,"Carrols Restaurant Group (TAST) Reports Q4 Loss, Lags Revenue Estimates",Negative,minor
2231,Verisk Analytics (VRSK) Q1 Earnings Miss Estimates,Negative,minor
2239,Why Is Fastenal (FAST) Down 6.8% Since Last Earnings Report?,Negative,minor
2247,Ecuador President Survives Impeachment Attempt Amid Unrest,Negative,neutral
2255,Intel CEO on chip shortage: 'We have a rough road in front of us',Negative,minor
2263,American Airlines stock slips after revenue growth outlook raised but capacity view trimmed,Negative,minor
2271,"FDA 'too slow' amid baby formula crisis, commissioner testifies",Negative,major
2279,Domino's expects sales pressure to persist after drop in first quarter,Negative,minor
2287,"MAXIMUS (MMS) Q2 Earnings Top, Stock Down 8.8% on Tepid EPS View",Negative,minor
2295,"Tesla gets Buy upgrade, Meta officially changes ticker symbol, cruise lines see pricing declines",Negative,neutral
2303,Amazon stock plumbs fresh 52-week lows,Negative,minor
2311,Dow Jones Dives After Fed-Fueled Rebound; Tesla Hikes U.S. Prices; Elon Musk-Twitter Meeting Next,Negative,major
2319,"T. Rowe Price Names Poppy Allonby as Head of ESG Enablement",Negative,neutral
2327,Hanesbrands (NYSE:HBI) shareholders have endured a 22% loss from investing in the stock a year ago,Negative,minor
2335,NVR (NVR) Down 8.8% Since Last Earnings Report: Can It Rebound?,Negative,minor
2343,"Bear market, GDP, and Davos: What to watch this week",Negative,minor
2351,"Las Vegas Sands (LVS) Reports Q1 Loss, Misses Revenue Estimates",Negative,minor
2359,83 acres in Rocky Mountain Rail Park sells for $35.46 million,Negative,neutral
2367,Why DexCom Is Down More Than 11% on Tuesday,Negative,minor
2375,Better Cybersecurity Stock: Fortinet vs. Tenable,Negative,neutral
2383,"Global supply chain is still not stable,' HPE CFO explains",Negative,minor
2391,"Triumph Group (TGI) Q4 Earnings Miss Estimates, Sales Fall Y/Y",Negative,minor
2399,Moody's Corporation Reports Results for First Quarter 2022,Negative,minor
2407,Why Is Pentair plc (PNR) Down 7.9% Since Last Earnings Report?,Negative,minor
2415,Booking/Expedia: travel stocks grounded by marketing spend,Negative,minor
2423,Downtown D.C. hotel sells for $61 million,Negative,neutral
2431,Are Oil Stocks Due For A Correction?,Negative,minor
2439,"US STOCKS-S&P 500 tumbles, on verge of confirming bear market",Negative,major
2447,How Best Buy Dodged the Retail Bullet,Negative,neutral
2455,PPL (PPL) Stock Sinks As Market Gains: What You Should Know,Negative,minor
2463,Union Pacific (UNP) Stock Moves -0.62%: What You Should Know,Negative,minor
2471,Evercore ISI Downgrades This Used-Vehicle Retailer - Read Why,Negative,minor
2479,Why First Republic Bank Stock Fell 15.9% in January,Negative,minor
2487,Cathie Wood is Selling Tesla and 9 Other Stocks,Negative,minor
2495,Estée Lauder Cos. executive John Demsey fired over 'racist meme' Instagram post,Negative,neutral
2503,"Activision Blizzard, Inc (ATVI) Stock Moves -1.88%: What You Should Know",Negative,minor
2511,"Realtor.com® March Housing Report: Home Prices Hit $405,000 For the First Time Ever",Negative,minor
2519,"HP stock downgraded by Deutsche Bank, price target lowered amid supply challenges",Negative,minor
2527,Paccar (PCAR) Q3 Earnings Miss Estimates,Negative,minor
2535,What's Going On With Kohl's Shares Today,Negative,minor
2543,Western Digital (WDC) Stock Sinks As Market Gains: What You Should Know,Negative,minor
2551,Regeneron (REGN) Down 1.4% Since Last Earnings Report: Can It Rebound?,Negative,minor
2559,Analysts Estimate Huntington Ingalls (HII) to Report a Decline in Earnings: What to Look Out for,Negative,minor
2567,Heres Why ClearBridge Exited its Trane Technologies (TT) Stake,Negative,neutral
2575,CORRECTED-(OFFICIAL)-UPDATE 3-Auto manufacturers scramble as Shanghai locks down,Negative,major
2583,BlackRock (BLK) Dips More Than Broader Markets: What You Should Know,Negative,minor
2591,Unum (UNM) Down 14.7% Since Last Earnings Report: Can It Rebound?,Negative,minor
2599,This Chain Is Struggling So Much With Delivery It's Paying Customers To Pick Up Their Orders,Negative,neutral
2607,"Templeton Global Income Fund (""GIM"" or the ""Fund"") Announces Distribution",Negative,neutral
2615,Newmont Earnings Miss Despite Higher Gold Prices. The Stock Is Dropping.,Negative,minor
2623,Kelloggs CFO Faces Challenge of Splitting Balance Sheet Three Ways,Negative,neutral
2631,"Dow Jones Futures: What To Do After Monday's Stock Market Plunge; Fed Meeting, Key Inflation Report Next",Negative,major
2639,Equity Residential (EQR) Q1 FFO and Revenues Miss Estimates,Negative,minor
2647,"McCormick sees sales, profits decline in wake of Covid restrictions, supply chain issues",Negative,minor
2655,"Midday Stock Movers: Netflix, Lululemon, IBM",Negative,neutral
2663,Fried circuits at the bitcoin miners,Negative,neutral
2671,Why American Eagle Outfitters Is Tumbling Today,Negative,minor
2679,Expeditors International (EXPD) Down 2.7% Since Last Earnings Report: Can It Rebound?,Negative,minor